address_componentable_id,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
3,Banten,Tangerang Selatan,Pondok Aren
4,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas
5,Jawa Barat,Bekasi,
6,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas
7,Banten,Tangerang,Curug
8,Banten,Tangerang,Pagedangan
9,Banten,Tangerang Selatan,Serpong
10,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit
11,Jawa Barat,Bogor,Cibinong
12,Banten,Tangerang,Pinang
13,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
14,Daerah Khusus Ibukota Jakarta,South Jakarta City,Kebayoran Baru
15,Banten,Tangerang Selatan,Pondok Aren
16,Banten,Pandeglang Regency,
17,Jawa Barat,Depok,Cimanggis
18,Banten,Tangerang Selatan,Serpong
19,Banten,Tangerang,Sindang Jaya
20,Jawa Barat,Depok,Tapos
21,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Durensawit
22,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Jatinegara
23,Daerah Khusus Ibukota Jakarta,South Jakarta City,Cilandak
24,Jawa Barat,Bekasi,Pondok Gede
25,Jawa Barat,Bogor,Cibinong
26,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres
27,Daerah Khusus Ibukota Jakarta,South Jakarta City,Pesanggrahan
28,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi
29,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas
30,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
31,Daerah Khusus Ibukota Jakarta,South Jakarta City,Cilandak
32,Banten,Tangerang,Legok
33,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
34,Jawa Barat,Kuningan,Tambun Selatan
35,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Penjaringan
36,Jawa Barat,Bekasi,Jatisampurna
37,Banten,Tangerang Selatan,Pondok Aren
38,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Durensawit
39,Daerah Khusus Ibukota Jakarta,South Jakarta City,Kebayoran Baru
40,Banten,Tangerang,Sindang Jaya
41,Jawa Barat,Bogor,Gunung Putri
42,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung
43,Banten,Tangerang Selatan,Serpong
44,Banten,Tangerang,Tigaraksa
45,Daerah Khusus Ibukota Jakarta,South Jakarta City,Kebayoran Lama
46,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Durensawit
47,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Koja
48,Daerah Khusus Ibukota Jakarta,South Jakarta City,Kebayoran Baru
49,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan
50,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Tanjung Priok
51,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Matraman
52,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Kramat Jati
53,Jawa Barat,Bekasi,Jatisampurna
54,Daerah Khusus Ibukota Jakarta,South Jakarta City,Kebayoran Lama
55,Banten,Tangerang,Pinang
56,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pasar Rebo
57,Banten,Tangerang Selatan,Pamulang
58,Banten,Tangerang,Sindang Jaya
59,Banten,Tangerang Selatan,Ciputat Timur
60,Banten,Tangerang Selatan,Ciputat Timur
61,Banten,Pandeglang Regency,Pandeglang Sub-District
62,Banten,Tangerang Selatan,Ciputat
63,Banten,Tangerang,Tigaraksa
64,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cipayung
65,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung
66,Banten,Tangerang Selatan,Ciputat
67,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan
68,Banten,Tangerang,Pagedangan
69,Banten,Tangerang,Rajeg
70,Jawa Barat,Bekasi,Pondok Melati
71,Daerah Khusus Ibukota Jakarta,South Jakarta City,Cilandak
72,Banten,Tangerang,Sindang Jaya
73,Banten,Tangerang,Pinang
74,Banten,Tangerang,
75,Banten,Tangerang Selatan,Pondok Aren
76,Jawa Barat,Kuningan,Tambun Selatan
77,Banten,Tangerang,Cikupa
78,Jawa Barat,Bekasi,Jatiasih
79,Jawa Barat,Bekasi,Bekasi Selatan
80,Banten,Tangerang,
81,Banten,Tangerang,Pagedangan
82,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Pademangan
83,Daerah Khusus Ibukota Jakarta,South Jakarta City,Jagakarsa
84,Banten,Tangerang,
85,Jawa Barat,Bandung,Cileunyi
86,Banten,Tangerang Selatan,Pondok Aren
87,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
88,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pesanggrahan
89,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
90,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
91,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Mampang Prapatan
92,Jawa Barat,Bekasi,Tambun Selatan
93,Banten,Tangerang,Cibodas
94,Banten,Tangerang Selatan,Ciputat Timur
95,Jawa Barat,Bandung,Bandung Wetan
96,Jawa Barat,Bandung,Margahayu
97,Banten,Tangerang,Cisauk
98,Jawa Barat,Depok,Cinere
99,Banten,Tangerang,Ciledug
100,Jawa Barat,Depok,Cimanggis
101,Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng
102,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Palmerah
103,Banten,Tangerang,Pagedangan
104,Jawa Barat,Bekasi,Serang Baru
105,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru
106,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pancoran
107,Jawa Timur,Sidoarjo,Sedati
108,Banten,Tangerang,Cisauk
109,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Koja
110,Jawa Barat,Bekasi,Medan Satria
111,Banten,Tangerang Selatan,Serpong Utara
112,Banten,Tangerang Selatan,Serpong
113,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
216,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
217,Banten,Tangerang Selatan,Ciputat
218,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
219,Jawa Barat,Bekasi,Pondok Melati
220,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Tanjung Priok
221,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading
222,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pulo Gadung
223,Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng
224,Banten,Tangerang,
225,Daerah Khusus Ibukota Jakarta,South Jakarta City,Kebayoran Baru
226,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol petamburan
227,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cipayung
228,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Cilandak
229,Jawa Barat,Bogor,Cibinong
230,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Pademangan
231,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru
232,Jawa Barat,Depok,Limo
233,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Cilandak
234,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas
235,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,
236,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu
237,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Cilandak
238,Jawa Barat,Bogor,Bogor Selatan
239,Jawa Barat,Kuningan,Tambun Selatan
240,Jawa Barat,Bogor,Tanah Sereal
241,Jawa Barat,Bekasi,Bekasi Selatan
242,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading
243,Banten,Tangerang Selatan,
244,Banten,Tangerang Selatan,Serpong
245,Jawa Barat,Depok,Sukmajaya
