address_componentable_id,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
568,Banten,Tangerang Selatan,
569,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung
570,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas
571,Banten,Tangerang Selatan,Pondok Aren
572,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pasar Rebo
573,Banten,Tangerang Selatan,Pondok Aren
574,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading
575,Banten,Tangerang Selatan,Serpong
576,Banten,Tangerang Selatan,Serpong Utara
577,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pesanggrahan
578,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres
579,Jawa Timur,Surabaya,Wonocolo
580,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Cengkareng
581,West Sumatra,Padang City,Padang Timur
582,Jawa Timur,Surabaya,Wonocolo
583,Jawa Timur,Surabaya,Wonocolo
584,Jawa Timur,Surabaya,Wonocolo
585,Banten,Tangerang Selatan,Serpong
586,Daerah Khusus Ibukota Jakarta,South Jakarta City,
587,Jawa Barat,Bogor,Citeureup
588,Banten,Tangerang,Tenjo
589,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading
590,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading
591,Jawa Barat,Bandung,Arcamanik
592,Jawa Barat,Bekasi,Rawa Lumbu
593,Jawa Barat,Cimahi,Cimahi Tengah
594,Jawa Barat,Bogor,Ciomas
595,Banten,Tangerang Selatan,Ciputat
596,Banten,Tangerang Selatan,Serpong
597,Jawa Barat,Bogor,Sukaraja
598,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres
599,,,
600,Banten,Tangerang,Kelapa Dua
601,Bali,Badung Regency,South Kuta
602,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres
603,Daerah Khusus Ibukota Jakarta,South Jakarta City,Pesanggrahan
604,Banten,Tangerang Selatan,Serpong
605,Banten,Tangerang,Curug
606,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pesanggrahan
607,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pesanggrahan
608,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu
609,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu
610,Daerah Istimewa Yogyakarta,Sleman,Moyudan
611,Bali,Badung,Mengwi
612,Jawa Barat,Cimahi,Cimahi Utara
613,Jawa Barat,Bandung,
614,Daerah Khusus Ibukota Jakarta,South Jakarta City,Kebayoran Lama
615,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
616,Jawa Barat,Bekasi,
617,Jawa Timur,Kediri,Mojoroto
618,Jawa Barat,Bandung Barat,Padalarang
619,Jawa Barat,Bandung Barat,Padalarang
620,Central Java,Banyumas Regency,Baturaden
621,Central Java,Banyumas Regency,Baturaden
622,Central Java,Banyumas Regency,Baturaden
623,Central Java,Banyumas Regency,Baturaden
624,Banten,Tangerang,Ciledug
625,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
626,Jawa Barat,Depok,Sawangan
627,Bali,Badung,Kuta Utara
628,Jawa Barat,Depok,
629,Jawa Barat,Bekasi,Setu
630,Banten,Tangerang,Pagedangan
631,Banten,Tangerang Selatan,Setu
632,Jawa Barat,Bogor,Cibinong
633,Jawa Barat,Depok,Cimanggis
634,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit
