address_componentable_id,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
65,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Pasar Rebo
66,Banten,Tangerang Selatan,Pondok Aren
69,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas
70,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas
72,Jawa Barat,Bekasi,
73,Jawa Barat,Cimahi,Cimahi Utara
74,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Ciracas
75,Banten,Tangerang,Curug
76,Banten,Tangerang,Pagedangan
77,Banten,Tangerang Selatan,Serpong
78,Jawa Barat,Bogor,Cibinong
79,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit
80,Banten,Tangerang,Pinang
81,Banten,Tangerang Selatan,Pondok Aren
82,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
83,Jawa Barat,Kuningan,
84,Jawa Barat,Cimahi,Cimahi Utara
85,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading
86,Banten,Tangerang,Cibodas
87,Jawa Barat,Depok,Cinere
92,Jawa Barat,Depok,Cimanggis
93,Banten,Tangerang,Ciledug
96,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
98,Daerah Khusus Ibukota Jakarta,,
100,Jawa Barat,Depok,Sawangan
101,Banten,Tangerang Selatan,Serpong
102,Jawa Barat,Bogor,Bogor Timur
104,Banten,Tangerang Selatan,Serpong Utara
106,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
107,Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng
108,Banten,Tangerang,Cisauk
110,Jawa Timur,Malang,Lowokwaru
111,Jawa Barat,Bekasi,Medan Satria
112,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit
113,Jawa Timur,Sidoarjo,Sedati
114,Jawa Barat,Bekasi,Rawa Lumbu
115,Banten,Tangerang Selatan,Ciputat
116,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu
119,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cipayung
122,Jawa Barat,Bekasi,Bekasi Utara
123,Jawa Barat,Bekasi,
124,Banten,Tangerang,Larangan
126,Daerah Khusus Ibukota Jakarta,South Jakarta City,Pesanggrahan
127,Banten,Tangerang,Pagedangan
129,Jawa Barat,Bekasi,Jatiasih
132,Jawa Barat,Depok,Sawangan
133,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Tanjung Priok
134,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu
135,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Cilincing
138,Banten,Tangerang,Tangerang
139,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Duren Sawit
140,Jawa Barat,Bekasi,Tarumajaya
141,Jawa Barat,Bekasi,Medan Satria
142,Jawa Barat,Bogor,Gunung Putri
143,Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng
144,Daerah Khusus Ibukota Jakarta,South Jakarta City,Pesanggrahan
145,Jawa Barat,Bogor,Sukaraja
146,Banten,Tangerang,Kelapa Dua
148,Jawa Barat,Depok,Sawangan
149,Jawa Barat,Bekasi,Tambun Selatan
150,Jawa Timur,Surabaya,Lakarsantri
151,Banten,Tangerang Selatan,Pamulang
152,Jawa Barat,Bekasi,Jatiasih
153,Banten,Tangerang Selatan,Ciputat Timur
154,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama
156,Banten,Tangerang,Cikupa
157,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
158,Banten,Tangerang,Pagedangan
159,Jawa Barat,Bekasi,Jatiasih
160,Banten,Tangerang,Larangan
161,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
163,Banten,Tangerang,Curug
164,Jawa Barat,Depok,Bojongsari
165,Jawa Barat,Bogor,
166,Banten,Tangerang,Pasar Kemis
167,Bali,Tabanan Regency,
168,Banten,Tangerang Selatan,Serpong
169,Jawa Barat,Bekasi,Jatisampurna
170,Jawa Barat,Depok,Sukmajaya
171,Jawa Barat,Depok,Sukmajaya
172,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cakung
173,Banten,Tangerang Selatan,Setu
174,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa
175,Banten,Tangerang Selatan,Serpong
178,,,
179,Banten,Tangerang Selatan,Serpong
180,Banten,Tangerang Selatan,Serpong
181,Banten,Tangerang Selatan,Serpong
182,Banten,Tangerang Selatan,Serpong
183,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,
184,Banten,Tangerang,Sindang Jaya
185,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Kelapa Gading
186,Jawa Barat,Bekasi,Tambun Selatan
187,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Penjaringan
190,Banten,Tangerang Selatan,Pondok Aren
191,Banten,Tangerang Selatan,Serpong
192,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru
194,Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru
195,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Pademangan
196,Jawa Barat,Bogor,Citeureup
